type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,any additional information,source_file,type of bacteria,concentration of bacteria
Reactive Golden Yellow HR,Phanerochaete chrysosporium,50 mg/L,3 discs (10mm diameter),static,27°C,not specified,not specified,not specified,Time required for decolorization increased with concentration,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt,,
Reactive Violet 5R,Phanerochaete chrysosporium,50 mg/L,3 discs (10mm diameter),static,27°C,not specified,not specified,not specified,Time required for decolorization increased with concentration,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt,,
Reactive Red HE8B,Phanerochaete chrysosporium,100 mg/L,3 discs (10mm diameter),static,27°C,not specified,not specified,not specified,Time required for decolorization increased with concentration,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt,,
Reactive Black B,Phanerochaete chrysosporium,100 mg/L,3 discs (10mm diameter),static,27°C,not specified,not specified,not specified,Time required for decolorization increased with concentration,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt,,
Reactive Golden Yellow HR,Phanerochaete chrysosporium,100 mg/L,3 discs (10mm diameter),static,27°C,not specified,not specified,not specified,Time required for decolorization increased with concentration,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt,,
Reactive Violet 5R,Phanerochaete chrysosporium,100 mg/L,3 discs (10mm diameter),static,27°C,not specified,not specified,not specified,Time required for decolorization increased with concentration,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt,,
Reactive Red HE8B,Phanerochaete chrysosporium,250 mg/L,3 discs (10mm diameter),static,27°C,not specified,not specified,not specified,Time required for decolorization increased with concentration,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt,,
Reactive Black B,Phanerochaete chrysosporium,250 mg/L,3 discs (10mm diameter),static,27°C,not specified,not specified,not specified,Time required for decolorization increased with concentration,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt,,
Reactive Golden Yellow HR,Phanerochaete chrysosporium,250 mg/L,3 discs (10mm diameter),static,27°C,not specified,not specified,not specified,Time required for decolorization increased with concentration,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt,,
Reactive Violet 5R,Phanerochaete chrysosporium,250 mg/L,3 discs (10mm diameter),static,27°C,not specified,not specified,not specified,Time required for decolorization increased with concentration,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt,,
Reactive Red HE8B,Phanerochaete chrysosporium,500 mg/L,3 discs (10mm diameter),static,27°C,not specified,not specified,not specified,Time required for decolorization increased with concentration,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt,,
Reactive Black B,Phanerochaete chrysosporium,500 mg/L,3 discs (10mm diameter),static,27°C,not specified,not specified,not specified,Time required for decolorization increased with concentration,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt,,
Reactive Golden Yellow HR,Phanerochaete chrysosporium,500 mg/L,3 discs (10mm diameter),static,27°C,not specified,not specified,not specified,Time required for decolorization increased with concentration,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt,,
Reactive Violet 5R,Phanerochaete chrysosporium,500 mg/L,3 discs (10mm diameter),static,27°C,not specified,not specified,not specified,Time required for decolorization increased with concentration,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt,,
Reactive Red HE8B,Phanerochaete chrysosporium,10 mg/L,1 disc (10mm diameter),static,27°C,not specified,not specified,not specified,Inoculum size affects decolorization rate,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt,,
Reactive Black B,Phanerochaete chrysosporium,10 mg/L,1 disc (10mm diameter),static,27°C,not specified,not specified,not specified,Inoculum size affects decolorization rate,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt,,
Reactive Golden Yellow HR,Phanerochaete chrysosporium,10 mg/L,1 disc (10mm diameter),static,27°C,not specified,not specified,not specified,Inoculum size affects decolorization rate,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt,,
Reactive Violet 5R,Phanerochaete chrysosporium,10 mg/L,1 disc (10mm diameter),static,27°C,not specified,not specified,not specified,Inoculum size affects decolorization rate,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt,,
Reactive blue,Polyporus rubidus,1000 mg/l,1 g wet weight,shaking,28 + 2 °C,5 days,4-7,39% color remaining,Decolorization monitored at 560 nm,Decolorization+of+synthetic+textile+dyes+by+Phlebia+tremellosa_.txt,,
Reactive blue,Polyporus rubidus,400 mg/l,1 g wet weight,shaking,28 + 2 °C,5 days,4-7,20% color remaining,Decolorization monitored at 560 nm,Decolorization+of+synthetic+textile+dyes+by+Phlebia+tremellosa_.txt,,
Reactive blue,Polyporus rubidus,100 mg/l,1 g wet weight,shaking,28 + 2 °C,5 days,4-7,90% decolorization,Decolorization monitored at 560 nm,Decolorization+of+synthetic+textile+dyes+by+Phlebia+tremellosa_.txt,,
Reactive orange,Polyporus rubidus,1000 mg/l,1 g wet weight,shaking,28 + 2 °C,5 days,4-7,40% color remaining,Decolorization monitored at 430 nm,Decolorization+of+synthetic+textile+dyes+by+Phlebia+tremellosa_.txt,,
Reactive orange,Polyporus rubidus,100 mg/l,1 g wet weight,shaking,28 + 2 °C,5 days,4-7,92% decolorization,Decolorization monitored at 430 nm,Decolorization+of+synthetic+textile+dyes+by+Phlebia+tremellosa_.txt,,
Ramazol black,Polyporus rubidus,1000 mg/l,1 g wet weight,shaking,28 + 2 °C,5 days,4-7,26% color remaining,Decolorization monitored at 560 nm,Decolorization+of+synthetic+textile+dyes+by+Phlebia+tremellosa_.txt,,
Ramazol black,Polyporus rubidus,100 mg/l,1 g wet weight,shaking,28 + 2 °C,3 days,4-7,Complete decolorization,Decolorization monitored at 560 nm,Decolorization+of+synthetic+textile+dyes+by+Phlebia+tremellosa_.txt,,
Congo red,Polyporus rubidus,100 mg/l,1 g wet weight,shaking,28 + 2 °C,3 days,4-7,Complete decolorization,Decolorization monitored at 490 nm,Decolorization+of+synthetic+textile+dyes+by+Phlebia+tremellosa_.txt,,
Congo red,Polyporus rubidus,1000 mg/l,1 g wet weight,shaking,28 + 2 °C,5 days,4-7,Not specified,Decolorization monitored at 490 nm,Decolorization+of+synthetic+textile+dyes+by+Phlebia+tremellosa_.txt,,
Effluent sample 1,Polyporus rubidus,Not specified,Not specified,Not specified,28 + 2 °C,4 days,Not specified,100% decolorization,Decolorization monitored for 8 days,Decolorization+of+synthetic+textile+dyes+by+Phlebia+tremellosa_.txt,,
Effluent sample 2,Polyporus rubidus,Not specified,Not specified,Not specified,28 + 2 °C,5 days,Not specified,20% color remaining,Decolorization monitored for 8 days,Decolorization+of+synthetic+textile+dyes+by+Phlebia+tremellosa_.txt,,
Effluent sample 3,Polyporus rubidus,Not specified,Not specified,Not specified,28 + 2 °C,4 days,Not specified,100% decolorization,Decolorization monitored for 8 days,Decolorization+of+synthetic+textile+dyes+by+Phlebia+tremellosa_.txt,,
Effluent sample 4,Polyporus rubidus,Not specified,Not specified,Not specified,28 + 2 °C,5 days,Not specified,30% color remaining,Decolorization monitored for 8 days,Decolorization+of+synthetic+textile+dyes+by+Phlebia+tremellosa_.txt,,
Malachite Green,Aspergillus flavus,10 µM,Not specified,Static,37.5 °C,6 days,7.3,>96%,,mp-2.txt,,
Malachite Green,Aspergillus flavus,20 µM,Not specified,Static,37.5 °C,6 days,7.3,>96%,,mp-2.txt,,
Malachite Green,Aspergillus flavus,30 µM,Not specified,Static,37.5 °C,6 days,7.3,>96%,,mp-2.txt,,
Malachite Green,Aspergillus flavus,40 µM,Not specified,Static,37.5 °C,6 days,7.3,>96%,,mp-2.txt,,
Malachite Green,Aspergillus flavus,50 µM,Not specified,Static,37.5 °C,6 days,7.3,97.43%,,mp-2.txt,,
Malachite Green,Alternaria solani,10 µM,Not specified,Static,37.5 °C,6 days,7.3,>96%,,mp-2.txt,,
Malachite Green,Alternaria solani,20 µM,Not specified,Static,37.5 °C,6 days,7.3,>96%,,mp-2.txt,,
Malachite Green,Alternaria solani,30 µM,Not specified,Static,37.5 °C,6 days,7.3,>96%,,mp-2.txt,,
Malachite Green,Alternaria solani,40 µM,Not specified,Static,37.5 °C,6 days,7.3,>96%,,mp-2.txt,,
Malachite Green,Alternaria solani,50 µM,Not specified,Static,37.5 °C,6 days,7.3,96.91%,,mp-2.txt,,
Malachite Green,Aspergillus flavus,30 µM,Not specified,Static,37.5 °C,6 days,7.3,99.78% (using dye as sole C source),,mp-2.txt,,
Malachite Green,Alternaria solani,30 µM,Not specified,Static,37.5 °C,6 days,7.3,91.72% (using dye as sole C source),,mp-2.txt,,
Congo red,Fusarium oxysporum,0.01%,Not specified,tube overlay method,25°C,10 days,Not specified,36.7%,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt,,
Congo red,Aspergillus niger,0.01%,Not specified,tube overlay method,25°C,10 days,Not specified,34.21%,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt,,
Congo red,Trichoderma lignorum,0.01%,Not specified,tube overlay method,25°C,10 days,Not specified,19.73%,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt,,
Crystal violet,Trichoderma lignorum,0.01%,Not specified,tube overlay method,25°C,10 days,Not specified,55.26%,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt,,
Crystal violet,Fusarium oxysporum,0.01%,Not specified,tube overlay method,25°C,10 days,Not specified,28.1%,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt,,
Crystal violet,Aspergillus niger,0.01%,Not specified,tube overlay method,25°C,10 days,Not specified,23.68%,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt,,
Methylene blue,Trichoderma lignorum,0.01%,Not specified,tube overlay method,25°C,10 days,Not specified,21.5%,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt,,
Methylene blue,Fusarium oxysporum,0.01%,Not specified,tube overlay method,25°C,10 days,Not specified,14.9%,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt,,
Methylene blue,Aspergillus niger,0.01%,Not specified,tube overlay method,25°C,10 days,Not specified,13.15%,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt,,
Congo red,Fusarium oxysporum,0.01%,Not specified,stationary,25°C,10 days,Not specified,78.9%,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt,,
Congo red,Aspergillus niger,0.01%,Not specified,stationary,25°C,10 days,Not specified,74.07%,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt,,
Congo red,Trichoderma lignorum,0.01%,Not specified,stationary,25°C,10 days,Not specified,35.25%,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt,,
Crystal violet,Trichoderma lignorum,0.01%,Not specified,stationary,25°C,10 days,Not specified,92.7%,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt,,
Crystal violet,Fusarium oxysporum,0.01%,Not specified,stationary,25°C,10 days,Not specified,53.4%,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt,,
Crystal violet,Aspergillus niger,0.01%,Not specified,stationary,25°C,10 days,Not specified,33.82%,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt,,
Methylene blue,Trichoderma lignorum,0.01%,Not specified,stationary,25°C,10 days,Not specified,48.3%,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt,,
Methylene blue,Fusarium oxysporum,0.01%,Not specified,stationary,25°C,10 days,Not specified,48.5%,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt,,
Methylene blue,Aspergillus niger,0.01%,Not specified,stationary,25°C,10 days,Not specified,22.44%,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt,,
Congo red,Fusarium oxysporum,0.01%,Not specified,shaking,25°C,10 days,Not specified,91.4%,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt,,
Congo red,Aspergillus niger,0.01%,Not specified,shaking,25°C,10 days,Not specified,84.7%,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt,,
Congo red,Trichoderma lignorum,0.01%,Not specified,shaking,25°C,10 days,Not specified,86.6%,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt,,
Crystal violet,Trichoderma lignorum,0.01%,Not specified,shaking,25°C,10 days,Not specified,96.6%,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt,,
Crystal violet,Aspergillus niger,0.01%,Not specified,shaking,25°C,10 days,Not specified,78.8%,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt,,
Crystal violet,Fusarium oxysporum,0.01%,Not specified,shaking,25°C,10 days,Not specified,56.1%,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt,,
Methylene blue,Trichoderma lignorum,0.01%,Not specified,shaking,25°C,10 days,Not specified,85.2%,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt,,
Methylene blue,Aspergillus niger,0.01%,Not specified,shaking,25°C,10 days,Not specified,53.4%,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt,,
Methylene blue,Fusarium oxysporum,0.01%,Not specified,shaking,25°C,10 days,Not specified,53.4%,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt,,
Disperse Blue 64,Aspergillus flavus,50 mg/L,,static,30°C,48 h,7.0,96.7%,Experiment conducted in triplicate,Decolorization+of+azo+dyes+and+simulated+dye+bath+wastewater+using+acclimatized+microbial+consortium--biostimulation+and+halo+tolerance_.txt,,
Acid Yellow 17,Aspergillus flavus,50 mg/L,,static,30°C,48 h,7.0,90.1%,Experiment conducted in triplicate,Decolorization+of+azo+dyes+and+simulated+dye+bath+wastewater+using+acclimatized+microbial+consortium--biostimulation+and+halo+tolerance_.txt,,
Disperse Blue 64,Aspergillus flavus,300 mg/L,,static,30°C,48 h,7.0,30.3%,Experiment conducted in triplicate,Decolorization+of+azo+dyes+and+simulated+dye+bath+wastewater+using+acclimatized+microbial+consortium--biostimulation+and+halo+tolerance_.txt,,
Acid Yellow 17,Aspergillus flavus,300 mg/L,,static,30°C,48 h,7.0,4.6%,Experiment conducted in triplicate,Decolorization+of+azo+dyes+and+simulated+dye+bath+wastewater+using+acclimatized+microbial+consortium--biostimulation+and+halo+tolerance_.txt,,
Disperse Blue 64,Aspergillus flavus,50 mg/L,Pseudomonas aeruginosa,static,30°C,48 h,7.0,>99%,Consortium showed enhanced degradation,Decolorization+of+azo+dyes+and+simulated+dye+bath+wastewater+using+acclimatized+microbial+consortium--biostimulation+and+halo+tolerance_.txt,,
Acid Yellow 17,Aspergillus flavus,50 mg/L,Pseudomonas aeruginosa,static,30°C,48 h,7.0,>99%,Consortium showed enhanced degradation,Decolorization+of+azo+dyes+and+simulated+dye+bath+wastewater+using+acclimatized+microbial+consortium--biostimulation+and+halo+tolerance_.txt,,
Disperse Blue 64,Aspergillus flavus,300 mg/L,Pseudomonas aeruginosa,static,30°C,48 h,7.0,55.2%,Consortium showed reduced degradation compared to lower concentration,Decolorization+of+azo+dyes+and+simulated+dye+bath+wastewater+using+acclimatized+microbial+consortium--biostimulation+and+halo+tolerance_.txt,,
Acid Yellow 17,Aspergillus flavus,300 mg/L,Pseudomonas aeruginosa,static,30°C,48 h,7.0,57.6%,Consortium showed reduced degradation compared to lower concentration,Decolorization+of+azo+dyes+and+simulated+dye+bath+wastewater+using+acclimatized+microbial+consortium--biostimulation+and+halo+tolerance_.txt,,
